Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
31/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
31/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,112
31/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
31/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
31/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
31/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,2
31/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,204
30/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
30/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,120
30/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
30/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
30/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
30/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,1
30/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,179
29/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
29/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,105
29/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
29/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
29/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
29/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,0
29/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,178
28/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
28/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,146
28/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
28/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
28/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
28/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,1
28/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,185
27/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
27/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,121
27/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
27/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
27/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
27/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,0
27/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,151
26/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
26/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,90
26/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
26/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
26/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
26/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,0
26/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,106
25/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
25/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,25
25/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
25/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
25/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
25/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,0
25/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,26
25/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
25/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,102
25/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
25/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
25/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
25/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,0
25/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,136
24/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
24/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,5
24/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
24/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
24/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
24/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,0
24/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,6
24/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
24/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,141
24/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
24/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
24/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
24/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,3
24/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,112
23/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
23/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,59
23/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
23/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
23/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
23/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,5
23/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,97
23/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
23/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,114
23/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
23/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
23/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
23/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,0
23/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,137
22/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
22/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,86
22/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
22/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
22/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
22/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,1
22/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,135
21/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
21/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,88
21/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
21/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
21/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
21/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,1
21/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,261
20/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
20/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,106
20/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
20/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
20/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
20/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,1
20/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,45
20/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
20/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,91
20/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
20/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
20/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
20/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,1
20/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,129
19/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
19/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,79
19/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
19/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
19/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
19/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,1
19/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,115
19/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
19/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,101
19/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
19/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
19/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
19/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,0
19/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,117
18/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
18/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,100
18/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
18/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
18/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
18/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,2
18/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,147
18/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
18/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,111
18/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
18/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
18/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
18/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,1
18/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,209
17/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
17/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,101
17/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
17/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
17/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
17/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,2
17/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,175
17/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
17/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule léger,93
17/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,véhicule intermédiaire,0
17/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,poids lourd,0
17/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,bus,0
17/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,vélo,0
17/05/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,personne,162
16/06/2024 00:00:00,D25 - rue V19-V17,Comptage vers V17,Barrière à sens unique,moto,0
